clave,ooad
01,Aguascalientes
02,Baja California
03,Baja California Sur
04,Campeche
05,Coahuila
06,Colima
07,Chiapas
08,Chihuahua
10,Durango
11,Guanajuato
12,Guerrero
13,Hidalgo
14,Jalisco
15,México Oriente
16,México Poniente
17,Michoacán
18,Morelos
19,Nayarit
20,Nuevo León
21,Oaxaca
22,Puebla
23,Querétaro
24,Quintana Roo
25,San Luis Potosí
26,Sinaloa
27,Sonora
28,Tabasco
29,Tamaulipas
30,Tlaxcala
31,Veracruz Norte
32,Veracruz Sur
33,Yucatán
34,Zacatecas
39,Ciudad de México Norte
40,Ciudad de México Sur
4A,UMAE 01 HES CMN La Raza
4B,UMAE 02 HES CMN Siglo XXI
4C,UMAE 03 HES CMN Occidente
4D,UMAE 04 HES Monterrey
4E,UMAE 05 HES Torreón
4F,UMAE 06 HES Puebla
4G,UMAE 07 HES CMN del Bajío
4H,UMAE 08 HES Obregón
4I,UMAE 09 HES Veracruz
4J,UMAE 10 HES 1 Mérida
4K,UMAE 11 HGO CMN La Raza
4L,UMAE 12 HGO San Angel
4M,UMAE 13 HGO CMN Occidente
4N,UMAE 14 HGO Monterrey
4O,UMAE 15 HTO Magdalena Salinas
4P,UMAE 16 HTO Lomas Verdes
4Q,UMAE 17 HTO Puebla
4R,UMAE 18 HTO Monterrey
4S,UMAE 19 HP CMN Siglo XXI
4T,UMAE 20 HP CMN Occidente
4U,UMAE 21 HC CMN Siglo XXI
4V,UMAE 22 HC Monterrey
4W,UMAE 23 HGP CMN del Bajío
4X,UMAE 24 HG CMN La Raza
4Y,UMAE 25 HOnco CMN Siglo XXI
99,Nacional
